product_id,store_id,featured,product_name,unit,sales,cost_price,sell_price1,sell_price2,sell_price3,stock,stock_min,sold
BR1367,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,MCB 4 AMPER,bh,null,18000,25000,25000,23000,9,3,2
 BR0533 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,impra propan jati wf-115 1kg,klg,null,49348,57000,57000,55000,19,2,2
 BR0737 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Lis Kayu Ram Pintu 3Cm,btg,null,6500,10000,10000,8000,91,20,3
 BR0835 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Operpal Gembok malvin Bsar,pcs,null,10000,13000,13000,15000,8,5,3
 BR0337 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 954a 5kg,kaleng,null,146642,159000,159000,158000,3,3,1
 BR0656 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kran Angsa Soligen hitam,bh,null,40000,63000,63000,63000,32,5,2
 BR0202 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat envi 938 1/2kg,klg,null,38000,48000,48000,48000,8,1,0
 BR0327 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 938 5kg,kaleng,null,143000,159000,159000,158000,4,3,0
 BR0639 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Klem Pvc 3',pcs,null,3000,4500,4500,4500,102,10,1
 BR0150 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avian 193 1kg,klg,null,71225,78000,78000,76000,5,4,0
 BR0700 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kunci Besi 6 Gepeng,bh,null,17000,23000,23000,23000,13,3,0
 BR1199 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Terminal Tempel Lobang 4,pcs,null,20000,25000,25000,25000,10,3,12
 BR0795 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,mata gerinda potong kaca/kramikDiamon,pcs,null,20000,40000,40000,40000,8,3,1
 BR1217 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Triplek 18Mm,lmbr,null,171000,190000,190000,185000,4,5,6
 BR0165 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avian 631 1kg,klg,null,71225,78000,78000,78000,14,4,0
BR1477,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,meteran 5m camel,bh,null,29166,35000,35000,35000,24,5,0
 BR0581 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kawat Ayak Ijo 1/2Cm,mtr,null,9000,17000,17000,14000,79,20,5
 BR0094 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Baut Gipsun 5 Cm Ecer,pcs,null,200,250,250,250,99999933,1,12
 BR1155 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Tambang N0 10  Meter,mtr,null,2800,6000,6000,6000,100000000,5,0
 BR0040 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,aquaprof 102 1kg,klg,null,54496,59500,59500,59500,22,4,0
 BR0147 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avian 190 kecil,klg,null,11500,15000,15000,14000,10,2,0
 BR0607 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Keni 5/8,pcs,null,1000,1500,1500,1500,100000000,20,0
 BR1030 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Selang Supra Elastis 3/4,mtr,null,5600,9000,9000,9000,0,20,6
 BR0983 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Ring Besi 8X20 6 Ful,pcs,null,1450,1900,1900,1600,415,200,650
 BR1141 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Stop Kontak OB,pcs,null,12958,17000,17000,17000,40,5,0
 BR1100 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Sok Drat Luar 1'' X Sok 3/4,pcs,null,2400,7000,7000,7000,21,5,0
 BR0209 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat envi 963 1/2kg,klg,null,38000,48000,48000,48000,3,1,0
 BR0057 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avitek 745 1kg,klg,null,37000,48000,48000,45000,5,2,0
 BR0867 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,paku beton 10cm ecer,pcs,null,900,1000,1000,1000,99999942,1,33
 BR0603 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Keni 45 Drajat 2'',pcs,null,7000,9000,9000,9000,100000000,5,0
 BR0419 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Fiser  S12 ,dus,null,9000,15000,15000,15000,100000000,50,0
 BR0304 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 1619 5kg,kaleng,null,143000,159000,159000,158000,4,3,0
 BR1088 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Sok 3/4'' AW,pcs,null,2100,4000,4000,4000,139,20,6
 BR0060 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat avitek 770 1kg,klg,null,37000,48000,48000,45000,4,2,0
 BR0074 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Batu Belah perkubik,kbik,null,230000,325000,400000,260000,99999992,10,2
 BR0954 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Radar Sintung ST 70 AB biru,pcs,null,55000,70000,70000,70000,5,3,0
BR1292,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,roda grobak ban hidup,pcs,null,80000,130000,130000,120000,3,2,2
 BR0801 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Meni kayu Biasa,kaleng,null,18000,35000,35000,35000,6,3,3
 BR0225 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat yoko 791 1kg,klg,null,51225,58000,58000,56000,10,4,1
 BR1163 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Tang Rifet Camel,pcs,null,35000,45000,45000,45000,15,4,2
BR1446,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,semprotan air liter 1000mm,bh,null,35000,49000,49000,49000,1,1,1
 BR0856 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Pahat Kayu 5/8,pcs,null,20000,35000,35000,35000,11,3,1
 BR1110 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Sok Talang 6'',pcs,null,5000,7000,7000,7000,99999990,5,7
BR1286,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,sifon pvc,pcs,null,30000,40000,40000,40000,100000010,4,0
 BR0323 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilex 926 5kg,kaleng,null,143000,159000,159000,158000,4,3,0
 BR0869 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,paku beton 2cm ecer,pcs,null,100,200,200,200,99999945,1,45
 BR0437 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,flok sok 1x1 1/2 AW,pcs,null,5900,9000,9000,9000,52,15,0
 BR0298 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilek putih 300 5kg,kleng,null,143000,159000,159000,158000,18,10,11
BR1371,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,engsel patrom 4 lobang,psg,null,10000,15000,15000,15000,7,5,0
 BR1022 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Selang Fleksibel 50Cm,bh,null,15000,35000,35000,35000,13,3,0
 BR0286 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat q luc 1552 4.5kg,kaleng,null,63368,75000,75000,72000,11,2,0
 BR0667 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kran Ful Besi 1 Bagus,bh,null,55000,75000,75000,75000,12,5,0
 BR0111 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,"Besi Siku 4X4 6M 4,8Mm",btg,null,150000,175000,175000,170000,11,2,3
 BR0388 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Ember Besar Ijo,pcs,null,7500,10000,10000,10000,460,15,0
BR1445,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,kran cabang stenlis bano,BH,null,45000,70000,70000,70000,12,2,0
BR1265,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,SALES DUA SAHABAT,RP,null,3142000,1,1,1,100000012,1,0
 BR0710 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kunci Laci Verza,BH,null,7900,15000,15000,15000,7,3,2
 BR0380 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Dop  Polos 3/4,pcs,null,3000,4000,4000,4000,99999981,10,19
 BR0050 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat kolam coting rt 09 1kg avian,klg,null,85000,95000,95000,92000,5,2,0
BR0271,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,raskam kayu panjang,pcs,null,30000,50000,50000,40000,7,1,1
BR1436,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,potong kaca bagus,pcs,null,65000,75000,75000,75000,2,1,0
 BR0193 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat envi 926 kecil,klg,null,11500,15000,15000,14000,5,1,0
 BR0890 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Palu texas Besar 16 oz,pcs,null,33000,55000,55000,55000,16,3,1
 BR0802 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Mesin Air Simitszu,pc,null,475000,550000,550000,550000,1,1,0
 BR0358 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Dempul Kayu Bintang 1Ltr,pcs,null,25500,35000,35000,32000,19,5,1
 BR0696 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Kuku Macan 20Cm ,bh,null,800,3000,3000,3000,99999885,50,110
 BR1104 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Sok Drat Luar Dalam 1/2'' Besi,pcs,null,9500,14000,14000,14000,13,5,0
BR1461,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,cat vinilek 915 galon,galon,null,143000,159000,159000,159000,3,2,0
 BR0766 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Mata Bor Besi Biasa 2Mm,pc,null,7000,10000,10000,10000,51,5,0
BR1376,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,T DUS putih,pcs,null,3000,5000,5000,5000,31,15,5
BR1412,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,spesial plitur vernis SP4,klg,null,40000,49000,49000,45000,2,0,0
 BR1214 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Toren Pinguin 700L,bh,null,1183000,1250000,1250000,1250000,100000000,1,0
 BR1055 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Siku Rak 10X12,psg,null,9166,27000,27000,27000,17,8,1
 BR0095 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Baut Gipsun 7Cm,dus,null,38000,60000,60000,55000,5,5,0
 BR1211 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Toren Pinguin 1100L,bh,null,1586000,1800000,1800000,1800000,100000002,1,0
 BR0733 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Linggis besar 22mm,pcs,null,55000,80000,80000,70000,14,3,0
 BR0133 ,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Capit Udang,pcs,null,2000,3000,3000,3000,29,10,19
BR1312,68417c3b-4e15-4c7c-8190-3a28d2da9a03,0,Palu Godem 10Lb ,pcs,null,80000,120000,120000,120000,6,3,0
